	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	User	User	Non-User	User	User	Non-User	User	Non-User	User	Non-User	Non-User	User	Non-User	User	Non-User	Non-User	Non-User	Non-User	Non-User	User	User	User	User	User	User	User	User	User	User	User	User	User	User	User	User	User	Non-User
Sample_ID	S100/8123	S101/8118	S102/8145	S103/8150	S104/8162	S105/8151	S106/8079	S107/8192	S108/8103	S109/8446	S110/8096	S111/8449	S112/8459	S113/8451	S114/8452	S115/8234	S116/8209	S117/8026	S118/8490	S119/8130	S120/8477	S121/8264	S122/8134	S123/8176	S124/8224	S125/8210	S126/8135	S127/8112	S128/8202	S129/8204	S130/8507	S131/8274	S132/8297	S133/8222	S134/8546	S135/8381	S136/8391	S137/8574	S138/8047	S139/8583	S140/8013	S141/8080	S142/8621	S143/8071	S144/8417	S145/8371	S146/8430	S147/8369	S148/8242	S149/8312
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__	0.014862148	0.021968943	0.000483144	0.034569373	0.002326565	0	0	0	0.001428681	0.000336819	1.97E-05	0.003899973	0.010557002	0.028361892	0.018413048	0.00067738	0.027104007	0.038398872	0.000143225	0.016840436	0.06012935	0.019179876	0.04408377	0.000399107	0.002653516	0.003387968	0.029011235	0.01168309	0.040042722	0.001019531	0.003592937	0.005176967	0.015956718	0	0.000507847	0.009308848	0	0.011203362	0.002554732	0.080723944	0.01715074	0.030303775	0.021908164	0.020546588	0.016096994	0.006223166	0.005562081	0.058022599	4.49E-05	0.015096578
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	0.000166901	0	0.001467325	0.000136831	0.000145033	0.011220634	0	0	0	0.000490584	0.018271249	0	9.65E-05	0	0.000155265	0	0	0	0.000907094	0	0	0.000245546	0	0	0.010714196	0	0	0	0	0	0	0	0	0	0	0	0	0.000562388	0	0	0.000100453	0.002530775	0.000213129	0.00025471	0.001086875	0	0	0.001711057	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Butyricicoccus	0.000778872	0.000709701	0	0	0	0.000287498	0	0	0	0	0	0	0	0.000102451	0	0	0	0	0	0	0	0.001309579	0	0	0	0	0	0	0	0	0	0.00020917	0	0	0	0	0	0	0	0	0	9.01E-05	0	0.001198079	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Clostridium	0	0	0	0	0	0.000353212	0	0	0	0	0	0	0	0	0	0	8.11E-05	5.49E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.04E-05	0	0	0.000443384	0	0	0.000148502	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	0.029334859	0.150498909	0.002424665	0.05532859	0.024637418	0	0.0004067	0	0.075058018	0.07448086	0.000255771	0.048989296	0.024725893	0.013856517	0.00578716	0.069326357	0.002392126	0.032787786	0.04900697	0.05366838	0.027526705	0	0.037591623	0.01173624	0	0.03126349	0.04659669	0.006054395	0.127894993	0.033128608	0.107617027	0.004226985	0.046755193	0.020867629	0.001003307	0.035026889	0.087948998	0.071556483	0.009331867	0.01601374	0.00635535	0.03638091	0.067554458	0.018348537	0.008573195	0.307327898	0.059724866	0.002703793	0.029947244	0.031797167
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger	0	0.017011631	0.000984182	0.00716408	0.018243897	0	0.002349822	0	0.00506659	0.01624784	5.90E-05	0.00273468	0	0.001835583	0.004665015	0.007887197	0	0.009565393	0.005641491	0.007327151	0.001948207	0.045112269	0.003455497	0.001434291	0	0	0.01215255	0.006275128	6.56E-05	0	0.001745141	0.0014119	0.00889226	0.002420839	0	0.006272154	0.00909002	0.003063535	0.004630451	0.002412485	0.005598602	0.001760895	0.015947908	0.023404998	0.002679709	0.011385016	0.001579523	0.007594835	0	0.003363032
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Oscillospira	0.022976721	0.032699193	0.011908596	0.082303843	0.006653372	0.029398719	0.000436826	0.003703199	0.04782945	0.049629499	0.023432581	0.019424684	0.037587216	0.030223087	0.031236547	0.02958672	0.092188086	0.014929335	0.0065088	0.023567001	0.067630609	0.03504488	0.048586387	0.022724155	0.046474078	0.012466153	0.031727688	0.215955853	0.020143157	0.01083405	0.007528059	0.019322114	0.030716224	0.031877602	0.009760569	0.025662828	0.018269717	0.01511048	0.022549054	0.063647916	0.015074704	0.041376938	0.028529853	0.08261087	0.027396747	0.004206667	0.097471413	0.206981437	0.01447974	0.043072423
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	0.018375019	0.051723407	0.00191468	0.004310176	0.002574329	0.049589289	0	0.000289445	0.002494965	0.013275049	0.016598898	0.0839011	0.066235812	0.009220603	0.011778987	0.015828895	0.039733623	0.013428163	0.001344728	0.004228127	0.028109842	0.014800971	0.019267016	0.016363387	0.044621624	0.010190066	0.006671988	0.04829326	0.032360216	0.001756541	0.007254312	0.005734755	0.006973067	0.001433136	0.003381517	0.009408231	0.04598001	0.021459545	0.001969272	0.007108393	0.006904496	0.04261366	0.032153041	0.030678377	0.009800615	0.027825751	0.039677075	0.012962066	0.002866016	0.008255941
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Syntrophomonadaceae|g__Syntrophomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.66E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|__	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002919858	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73E-05	0	0	0	0	0	0	0	0	0	0.000443991	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Acidaminococcus	0.014742933	0.009596848	0.024488226	0.03279057	0.065977762	0	0.067617642	5.96E-05	0.063628571	0.012433002	0.208374869	0	0.002100683	0	0.013070512	0.001596126	0.000141906	0.054618849	0.031764219	0.000408399	0.068333024	0.000927618	0	0.015702366	0.046323879	0.064135937	0	0.000362633	0.035292685	0	0.005030112	0.000252748	0.002147668	0.015929118	0.026915883	0.002860014	0	0.001968358	0.065695632	0.009649941	0.058102235	0	0.095584561	0	0.062317293	0.000955184	0.001849527	0	0.035604445	8.76E-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Anaerovibrio	0	0	0.02422876	0	0	0	0	0	0	0	0	0	0	0.037334904	0	0	0	0	1.59E-05	0	0	0	0.00617801	0	0	0	0	0	0	0	0	0.062332773	0	0	0	0	0	0	0	0.003772611	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Dialister	0.000858349	0.001175773	0.002710973	0.013556042	0.000948755	0.000147856	0	0.002860402	0.001575034	0.012952875	1.31E-05	0.013194125	0.0004823	0.012259987	0.029987367	0	0	0.016604423	0	0.059890453	0.032390596	0.004106076	0.009947644	9.98E-05	0.008035647	0.003845802	0.000536142	0	0.004712562	3.69E-05	0.004037777	0.007076931	0.054431965	0.001345986	0	0	0.015497872	0.001139576	0.002554732	0.014345849	0.01049403	0	0.007709381	0.007462053	0.001321115	0.004197019	0.044280642	0.000330912	0.000778239	0.002931701
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Megamonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.82E-05	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Megasphaera	0	6.36E-05	0.004375134	0.000293209	0.022558617	0	0.297493523	0.002383668	0	0.000519872	0.028823452	0.001550592	0.000407275	0.00205756	3.53E-05	0.00441465	0.003172608	0.023231547	0.001368599	0	0.014167572	0.002605517	0	0.000436523	0.015695797	0.009810719	0.006993674	0	0	0	0.003661374	0.008506262	0.003354018	0.076362932	0.023608685	0	0.030865305	0.001272773	0.079888585	0.010652662	0.006509379	3.28E-05	0.017792574	0	0.00942583	0	0	0	0.008223893	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Mitsuokella	0	0	0.00033999	0.015745338	0	0	0	0	0	0	0	0	0	0.000597632	0.020410324	0	0.000101361	0	0	0	0	0	0	0	0	0	0	0	0.002960576	0	0.013653162	0.000339902	0.007731605	0	8.67E-05	0	0	0	0	0.006204952	0.009824341	0	0.002182732	0.001009405	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Phascolarctobacterium	0.060632794	0.040198716	0.042731372	0.055963877	0.048235436	0.078026943	0.019295656	0	0	0.027692353	0.013824764	0.010045954	0.046247173	0.012003859	0	0.044886169	3.04E-05	0.028943322	0.074509055	0	0.000437353	0.100687529	0.037591623	0.00583694	0.014469172	0.075293995	0.063074119	0.001466299	0.091412457	0.075604963	0.036237339	0.072930738	0	0	0.000198184	0.140626553	0	0.009013009	0.065429514	0	4.02E-05	0.036110633	0.005850016	0.099638689	0.041010794	0.033479666	0	0.059233253	0.053212108	0.050034372
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Schwartzia	0	4.24E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.88E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Selenomonas	0	8.47E-05	0	0	0	0	0	7.66E-05	0	0	0	0	0	0	0	0	2.03E-05	0	0	0	0	0	0	0	0	2.62E-05	0	0	0	2.46E-05	0	4.36E-05	0	2.91E-05	6.19E-05	0	0	0.001716764	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Succiniclasticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.61E-05	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Veillonella	0.000572232	0.002118509	0.000849975	0	0.000265893	0.00021357	0.002741459	0.071365331	0.000278767	0.000373429	9.84E-05	0	0.000664502	0.000153677	0.001002167	0.000179078	0.000912252	0.000878735	0.000501289	0	0.000106025	0.000122773	0.01026178	0.000212026	0	0.004447526	0.002001597	0.001150966	0.000271698	0.00098268	0.011565836	0	0.00250409	0.019734676	0.045124051	0.000375446	0.000171202	0.038360787	0	0	0.000174119	0.000122853	0.000154335	0.00017924	0.001105614	0.000636789	0.002011529	0	0.001129944	0.000114572
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Mogibacteriaceae]|__	0	0	0	0	0	0	0	0	0	0	0	0	8.57E-05	0	0	0	0	9.15E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Mogibacteriaceae]|g__	0.00389436	0.000847404	0.000438408	0.001612651	0.000676819	0.001363562	0	0	5.58E-05	0.001764637	0.001482162	0.000385299	0.003183177	0.000665932	0.003966322	0.001051107	0.011433553	0	0.000238709	0.000960938	0.002822912	0.003996944	0.004816754	0.002818693	0.002428217	9.16E-05	0.002061168	0.004398896	0.001143007	0	0.000923898	0.001237591	0.000987013	0.0001162	0.000111479	0.001822017	0.000260879	0.001006379	0.00088706	0.001360125	0.002504638	0.004520996	0.002359115	0.004028188	5.62E-05	0.000829755	0.002929542	0.016820016	3.74E-05	0.002318403
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Mogibacteriaceae]|g__Mogibacterium	0	0	0	4.89E-05	0	0	0	0	0	0	0	0.000319516	0.000525171	0.000230515	0	0	0	0	0.000222795	0.000360352	0.000649402	0.002223556	0	2.49E-05	0	0	0	0	0	0.001781108	0	0.00101099	0	0	0	0.000287106	0	0	0	0.000188631	0.000937565	0.001244912	0	0.002773506	0	0.000569251	0.000432006	0.008490718	0	0.000768308
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae]|g__1-68	0	0	0	0	0	0	0	0	0	0.000556483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.75E-05	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae]|g__Anaerococcus	0	0	0	0	0	3.29E-05	0	0	0	0	0	0	0	0	0	0	3.04E-05	0	0	0	0	0	0	8.73E-05	0	5.23E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae]|g__Finegoldia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00023697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.81E-05	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae]|g__Parvimonas	0	0	0	0	0	0	0	0	0	8.79E-05	0	0	0	0	0	3.11E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000295994	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae]|g__Peptoniphilus	0	2.12E-05	0	0	0	3.29E-05	0	0	0	0.000146443	0	0	0	0	0	4.67E-05	0	0	0	0	0	0	0	8.73E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.61E-05	0	0.000552807	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae]|g__WAL_1855D	0	9.53E-05	0	0	0	0.000131428	0	0.000255393	0	0.002233254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.34E-05	0	0	0	0	0	0.000558544	0	0.000206131	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae]|g__ph2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.49E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.08E-05	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000344628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.83E-05	0	0	0	0.000104923	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__	0.00174054	0.000338962	1.79E-05	3.91E-05	0.008780517	3.29E-05	0	0	0.000682979	0.000600416	1.97E-05	0.000864572	0	0	0.000550486	7.79E-05	0.001044021	0.000265451	0	9.61E-05	0.000516871	5.46E-05	0.000628272	0.007059205	8.76E-05	0.000183133	0	0.005029562	0.00016864	0	0.000855461	0	6.40E-05	0.000474484	4.95E-05	0.012478053	0.003652313	0.002560346	0	0	0.000334845	0.000876352	3.67E-05	0.000641491	0.000777678	0.001341116	0	0	0.000134695	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Allobaculum	0	4.24E-05	3.58E-05	0	0	7.39E-05	0	5.11E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.61E-05	3.66E-05	0	0	0	4.08E-05	0.000133197	0	4.96E-05	0	0	0	0	0	0	0	0	3.74E-05	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Anaerorhabdus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.69E-05	0	5.88E-05	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Bulleidia	0	0	0.000178942	0.00169084	0	0	0	0	0	0	0	0	0	0.000862297	0	0	0	0	0.000843439	0	7.95E-05	0	0	0	0	0	0	0	0	0	0	0.000549072	6.40E-05	0	0.000260117	0	1.63E-05	0.000251595	0	0.001191351	0.000154029	0.000163804	0	0.000877334	0	0	0	0.000225989	0	0.000808745
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium	0	0.002478656	0.001055758	0.008806052	0	0	0.027429656	0.006223077	0	0.000878657	0	0	0	0.000759846	0	0	0	0.001958846	0.009452879	0.002114063	0.008256686	0	0.01539267	0	0	0.001438905	0.002525824	0	0	0	0.00088968	0.002971962	0.00092304	0	0	0	0	0.000813983	0.001756378	0.004815043	0.002839482	0	0.003843666	0.014442987	0	0.002923441	0	0.003591606	0	0.004144819
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Clostridium	0	0.000158888	0	0	5.44E-05	0.000295712	0	0	0	0.000175731	0.00011149	8.46E-05	0.002454369	0	0.000183495	8.56E-05	0.000800754	0	0	0	0	0.000150056	0	0.000162137	0	0	0	0	3.75E-05	0.001351185	0	0	0	8.72E-05	0.008497145	0	7.34E-05	8.88E-05	0	0	0	0.000245706	0.000286621	0	0.000140544	7.72E-05	0.001633524	0	0.000516332	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	0	9.53E-05	0	0	2.42E-05	0.003868901	0	0	0	2.93E-05	9.84E-05	0	0.000342969	0	9.88E-05	7.79E-05	0.002716482	0	0	0	0.000702415	0.000231905	0	0	0.000375498	0	0	0	0.000477814	0.000270237	0	0	0	0	0.001151945	0	0.000391319	0	0	0	2.01E-05	0	0.000132287	0	3.75E-05	9.65E-05	0.001957528	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania	3.18E-05	0.000116518	0	0.000273662	0	8.21E-05	0	0	4.88E-05	0.000117154	0	0.000310118	0.000685937	0	2.12E-05	0.000272509	0	0.000704818	0.000246666	0.000120117	0.000265062	0.000641148	0	8.73E-05	0.000413047	0	0	0	0.000543397	0.000822995	0	0	0	7.75E-05	0	0.000342318	0.000375014	0.000266394	0	0	0.000133938	5.73E-05	0.000360114	6.60E-05	0.000309197	0	0	0	0.000269391	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__RFN20	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003329662	0	0	0	0	0	0	0	0	0	0	0	0	0.000357428	0	0	0	0	0	0	0	0	0	0	7.40E-05	0	0.028374005	0	0	0	0	0	0	0.011191662	0.000597256	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__[Eubacterium]	0	0.009310849	0.019263116	0	0.000235678	0.000353212	0	0.00035755	2.79E-05	0.002474885	0.002833158	0	0.003108153	0.000597632	0.000536371	0.003861846	0.023150917	0.001290641	0.00026258	0.000168164	0.013703714	0.000177339	0.003455497	0.01334514	0.003129146	0.00095491	0.009674383	0.000599133	0.00370072	0.000933546	0.000958117	0.001865103	0.001754691	6.78E-05	0.110561976	0.000253978	0.000758181	0.000251595	0.010006032	0.001926017	0.015951997	0.014594953	0.003130788	0.003764044	0.000655873	0.013604129	0.001660524	0.010104923	2.99E-05	0.002608203
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__cc_115	7.95E-05	0	0	0.000605966	7.25E-05	0	0	0	0	0	0	0	0	0	6.35E-05	0	0.01217349	0	0	0	6.63E-05	0.000532016	0	0	0.000613313	0	0	0.000157667	0.000140534	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000117588	0	0	0	0.000445506	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__p-75-a5	0	0	0	0	0	0	0	0	0	0	0	0	0	6.83E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000158847	0	0	0	0	0	0	0	0.000153349	0	8.76E-05
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|__	0	0	0	0.003469643	0	0	0	0	0	0	3.28E-05	0	0	0.000742771	0.002152541	0.000381513	0	0.015908758	0	0	0	0	0	0	2.50E-05	0	0	0	0	0	0.008759923	0	0	0	4.95E-05	0	0	0.000325593	0	0	0	0	0	0	0	0	0	0	0.13371497	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008889887	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium	0	0.00062496	0.000268413	0	3.63E-05	0	9.04E-05	0.000817258	0	0.002247899	0	0	0	0	0	0	0.000293948	0.000137302	0	0	0.000874705	0	0	0	0	0.00013081	0	0.0001892	0	0.000171969	0.002395292	4.36E-05	9.14E-05	0.00144282	0.00028489	0	0	0.009042608	0	0	0	0	0	0	0.000702721	0.000279801	0	4.04E-05	0	2.02E-05
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia	0	0.000264814	0.000205783	3.91E-05	0	0	0	1.70E-05	0	6.59E-05	0	0	0	0	9.17E-05	0	5.07E-05	5.49E-05	0	0	3.98E-05	0	0.001570681	0	0	0	0	0.000268033	3.75E-05	0.000159686	0.001197646	0	0	3.87E-05	0	0	0	0.006659859	0	0	4.69E-05	0	0	0	4.68E-05	0	0	0	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Sneathia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01E-05	0	0	0	0	0	0	0	4.99E-05	0	0	0	0	0	0	0	0	0	1.94E-05	0	0	0	0	0	0	0	0	9.55E-05	0	0.003307473	0	0	6.46E-05	0	0
k__Bacteria|p__Lentisphaerae|c__[Lentisphaeria]|o__Victivallales|f__Victivallaceae|g__	0	2.12E-05	0	0	0.00045927	0	0	1.70E-05	0	0	0	0	0	0.000776921	0.001799665	0	0	0	0	0	0.00546028	0	0.036649215	0.000174609	0.000250332	0	0.00106037	0.00357903	0	0	0	0.001821525	0	0	7.43E-05	0	0	0	0	0.019726784	0.000924171	0	0	0	0	0	0	0.037974173	0	0
k__Bacteria|p__Lentisphaerae|c__[Lentisphaeria]|o__Victivallales|f__Victivallaceae|g__Victivallis	0.004665284	0	0.000393673	0.000811212	0.002942954	0	0	0	0	0	0	0.022093581	0	0.000136602	0	0	0.012507982	0	0	0	0.011132611	0	0.002617801	0	0.000375498	0	0.002192225	0.001261332	0	0	0	0.005917779	0.000721982	0	0	0	0	0	0	0.00047654	0	0.004250719	0	0.00025471	0	0	0.008127118	0.003640032	0	0.000181968
k__Bacteria|p__OD1|__|__|__|__	1.59E-05	5.30E-05	0	0	3.02E-05	0.000147856	0	0.00013621	0	0	0	2.82E-05	0	0	4.23E-05	0.000124576	0.000222995	2.75E-05	0.000214838	0	0	0	0	0.000374163	0.000250332	5.23E-05	0	0	0.000243592	0.000196536	0	9.59E-05	8.23E-05	0.000551951	0	6.63E-05	1.63E-05	0	8.87E-05	0.000377261	0	0	7.35E-05	0	0.000149914	8.68E-05	0	5.65E-05	6.73E-05	0.000114572
k__Bacteria|p__OD1|c__|o__|f__|g__	0.000190744	0.000127111	3.58E-05	0.001221705	0.000356539	0.000591424	0.000451889	0.001123729	0.000662072	0.00010251	0	0.000779995	0.000107178	0.000520793	0.000289358	0.000303653	0.000111497	0.000283758	0.000350107	7.21E-05	0.000954224	0.000341036	0.00052356	0.000785742	0.000463114	0.000327024	0.000321685	0.000126133	0.000281067	0.000638742	0.000102655	0.000148162	0.000502646	0.000716568	3.72E-05	0.000242936	0.000831553	0.000384792	0.000674165	0.000198558	0.000642902	0.000106473	0.00040421	0.000122638	0.000637134	0.000829755	0.000580508	0.000290557	0.000591162	0.000175228
k__Bacteria|p__Proteobacteria|__|__|__|__	0	0	0	0	0	1.64E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|__|__|__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04104712	0.000162137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022506602	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas	0	0	0.000134207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__RF32|f__|g__	0.029573289	0.000614368	9.84E-05	0	0	0	0	0	0	6.59E-05	0	0	0.023632681	0.011816032	7.76E-05	3.11E-05	6.08E-05	4.58E-05	0	0	0	0	0.001256545	0	0	0	0	0.000157667	0	0	0.000581714	0	0	0	0.000198184	0	0	0.002160754	0	0.0067907	0	0	0	0	6.56E-05	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Brucellaceae|g__Ochrobactrum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.46E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae|__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000207196	0	0	0	0	0	0	0	0	0	0	0	0
