	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	Non-User	User	User	Non-User	User	User	Non-User	User	Non-User	User	Non-User	Non-User	User	Non-User	User	Non-User	Non-User	Non-User	Non-User	Non-User	User	User	User	User	User	User	User	User	User	User	User	User	User	User	User	User	User	Non-User
Sample_ID	S100/8123	S101/8118	S102/8145	S103/8150	S104/8162	S105/8151	S106/8079	S107/8192	S108/8103	S109/8446	S110/8096	S111/8449	S112/8459	S113/8451	S114/8452	S115/8234	S116/8209	S117/8026	S118/8490	S119/8130	S120/8477	S121/8264	S122/8134	S123/8176	S124/8224	S125/8210	S126/8135	S127/8112	S128/8202	S129/8204	S130/8507	S131/8274	S132/8297	S133/8222	S134/8546	S135/8381	S136/8391	S137/8574	S138/8047	S139/8583	S140/8013	S141/8080	S142/8621	S143/8071	S144/8417	S145/8371	S146/8430	S147/8369	S148/8242	S149/8312
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__S24-7|g__	0	0.002605767	0.000107365	0.052846085	9.67E-05	8.21E-05	0.000120504	9.36E-05	6.97E-05	0.007314823	7.21E-05	0.008476567	0	0.007461858	0	5.45E-05	7.10E-05	0.007322789	0	0	0.000119278	0	0.009319372	0	0	0	0	9.46E-05	0.001958102	4.91E-05	0.000992335	0.003329295	7.31E-05	0	7.43E-05	0	8.97E-05	0.000251595	0	0.000407045	8.04E-05	0	9.55E-05	0.052366442	2.81E-05	0.001572676	0.008545624	0.005964487	0.000104763	0.007629163
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Barnesiellaceae]|__	0	0	0	0	0.057372492	0	0	0	0	0	0	0	0	0	0.002815947	0	0	0	0	0	0	0	0	0	0	0	0	0.000457233	0	0	0	0	0.005273211	0	0	0	0	0	0	0	0.024818682	0	0	0	0	0	0.00067501	0.000121065	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Barnesiellaceae]|g__	3.97E-05	0.000148296	0.000152101	0.000596192	0	0.04436504	0	0	0	0	0	1.88E-05	0.004973045	0	0.000733981	0	0	0	0	0	0	0.005852181	0.001465969	0	0	0	0.00315728	0	0	0	0.002087325	0	0	0	0.000111479	5.52E-05	0.002095188	0.004602702	0	0	0	0	0	0	0	0	0	2.42E-05	0	1.35E-05
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Odoribacteraceae]|g__Butyricimonas	0.001923337	0.00228799	0.001377854	0.006528793	0.006296833	0	0	0	4.18E-05	0.005908971	0	0.000498069	0.001939916	0.000324429	0.004467405	0.005403469	0.000101361	0.007029877	0.000103441	0.000216211	0.002981949	0	0	0	2.50E-05	0	0.001215255	0.001371699	0.022344851	0.000110552	0.003558719	0.00030504	0.002028861	0.008715019	0	0.006614472	0	0.008776214	0.003885321	0.001777098	0.017190922	0.017297722	0	0.004754582	0	0.030855323	0.011299664	0.002082324	0	0.001395086
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Odoribacteraceae]|g__Odoribacter	0.005388522	0.003728577	0.000357884	0.003068924	0.005777133	0	0.000135567	3.41E-05	0.013415663	0.004473831	0.004833421	0.000516864	0.004705101	0.001579455	6.35E-05	0.005193248	0.006193174	0.003926845	9.55E-05	0.000792774	0.003856654	0	0.000628272	0.013357612	0.006320875	0.005742541	0.004980163	0.016460386	0.002613926	0.000110552	0.001163427	0.002597199	0.001306879	0.015057616	0.000123865	0.0066476	0.007753012	0.004173512	0.005712664	0.000615531	0.00702504	0.01448029	0	0.004056489	0.00942583	0.009329924	0.003645053	0.000936239	0	0.001907291
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Paraprevotellaceae]|g__	0	0	0	0.000195473	0	0	0	0	0	0.004268811	0	0	0	0.001835583	0	0	0	0	0.001066234	0	0.006467517	0	0.023455497	0	0	0.003505697	0.001763311	0	0.002332859	0	0.000205311	0	0.004222224	0	0	0	0	0.000192396	0	0.005371006	0	0	0	0.001160345	0	0.003367263	0.002700039	0.017352704	0	2.02E-05
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Paraprevotellaceae]|g__CF231	0	0	0	0.004231987	0	0	0	0	0	0	0	0	0	0.001861196	0	0	0	0	0	0	0	0	0.002408377	0	0	0	0	0	0	0	0	0.003189848	0	0	0	0	0	0	0	0.002382702	0	0	0	0	0	0	0	0	0	0.002190352
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Paraprevotellaceae]|g__Paraprevotella	0	0	0.00361463	0	0	0	0.013481352	0.081351199	0	0.008244735	0.001016527	0.001212281	0.020288737	0	0	0	0	0	0	0	0.000821693	0	0	0	0	0	0	0	0.000955629	0	0.000581714	0.00402653	0	0	0	0.012036352	0.007247558	0.006778256	0.002128943	0	0	0	0	0.003839514	6.56E-05	0.00792127	0	0.002671509	0	0.00162423
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Paraprevotellaceae]|g__YRC22	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001331865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Paraprevotellaceae]|g__[Prevotella]	0	0	0.024157183	0.047382619	4.23E-05	7.39E-05	0	0	0	0.028241514	0.00070829	0.002377574	0	0.058337389	2.12E-05	0	0	0.047927651	0.1024778	0	0.038937631	0.050118681	0.010575916	0	0	0	0.011401952	0.000110367	0	0	0.076751985	0.050941702	0.064457462	0	0.000235344	0	0	0.029614172	0	0.007803348	6.70E-05	0	0	0.044045923	0	0	0	0.02716707	0	0.046010864
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga	3.18E-05	0	5.37E-05	0	0	0	0	0	0	0	0	0	0	0	0	3.11E-05	0	3.66E-05	1.59E-05	0	0	0	0	0	0	0	0	0	0	0	0.000376403	0	0	0	7.43E-05	0	0	0.002057156	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__[Weeksellaceae]|g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000418848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Pedobacter	0	0	1.79E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__4C0d-2|o__YS2|f__|g__	0	0.000137703	0	0	0	3.29E-05	0	0	0	0	0	0	0.00038584	0.004413937	0	0	3.04E-05	0	0	0	0	0	0.008062827	0.000124721	0	0	0	0.0001419	2.81E-05	9.83E-05	0.000855461	0.030477867	0	1.94E-05	0.000260117	0	0	0.006053072	0.00223539	1.99E-05	0	0	0	9.43E-05	8.43E-05	0	0	0.001428571	0	0
